,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score,bert_relevance
0,"George, Westbrook lead Thunder past Grizzlies 137-123",2018,http://global.nba.com/news/george-westbrook-lead-thunder-past-grizzlies-137-123/,NBA News,21995.89999999999,84859.0,93866.0,0.0454662698412698,0.0454662698412698,Russell Westbrook,0.2424386301202429,0.685907244682312
1,"Davis, Rondo power Pelicans past Spurs, 122-98",2018,http://global.nba.com/news/davis-rondo-power-pelicans-past-spurs-122-98/,NBA News,21995.89999999999,84859.0,93866.0,0.109028934028934,0.109028934028934,Anthony Davis,0.0847725194214672,0.68752521276474
2,"76ers win 16th straight, earn 3 seed in romp over Bucks",2018,http://global.nba.com/news/76ers-win-16th-straight-earn-3-seed-in-romp-over-bucks/,NBA News,21995.89999999999,84859.0,93866.0,0.0835539299202089,0.0835539299202089,Giannis Antetokounmpo,0.0470343347701805,0.6605729460716248
3,Russ ensures averaging a triple-double after grabbing 16 rebounds,2018,http://global.nba.com/news/russ-ensures-averaging-a-triple-double-after-grabbing-16-rebounds/,NBA News,21995.89999999999,84859.0,93866.0,-0.05,-0.05,Russell Westbrook,0.4012990334342635,0.685907244682312
4,"Jazz, Trail Blazers vie for No. 3 seed in West",2018,http://global.nba.com/news/jazz-trail-blazers-vie-for-no-3-seed-in-west/,NBA News,21995.89999999999,84859.0,93866.0,0.1060225885225885,0.1060225885225885,Damian Lillard,0.0506146513444723,0.6709682941436768
5,Thunder go for important win vs. Grizzlies,2018,http://global.nba.com/news/thunder-go-for-important-win-vs-grizzlies/,NBA News,21995.89999999999,84859.0,93866.0,0.1986385836385836,0.1986385836385836,Russell Westbrook,0.1735970147775468,0.685907244682312
6,"Spurs, Pelicans jockeying for playoff positioning",2018,http://global.nba.com/news/spurs-pelicans-jockeying-for-playoff-positioning/,NBA News,21995.89999999999,84859.0,93866.0,0.2343458718458719,0.2343458718458719,Anthony Davis,0.1523793634185884,0.68752521276474
7,"76ers set sights on No. 3 seed, Bucks",2018,http://global.nba.com/news/76ers-set-sights-on-no-3-seed-bucks/,NBA News,21995.89999999999,84859.0,93866.0,0.1669066760903495,0.1669066760903495,Joel Embiid,0.1143080158526032,0.660932719707489
8,Wizards play for playoff positioning against Magic,2018,http://global.nba.com/news/wizards-play-for-playoff-positioning-against-magic/,NBA News,21995.89999999999,84859.0,93866.0,0.1671785653141585,0.1671785653141585,Bradley Beal,0.0429066311640611,0.671540379524231
9,Raptors-Heat finale could be playoff preview,2018,http://global.nba.com/news/raptors-heat-finale-could-be-playoff-preview/,NBA News,21995.89999999999,84859.0,93866.0,0.0307083333333333,0.0307083333333333,Russell Westbrook,0.0434676150656038,0.685907244682312
10,Cavaliers face Knicks with No. 3 seed within reach,2018,http://global.nba.com/news/cavaliers-face-knicks-with-no-3-seed-within-reach/,NBA News,21995.89999999999,84859.0,93866.0,0.1751716989058761,0.1751716989058761,LeBron James,0.1927909408921445,0.6734024286270142
11,"Philadelphia 76ers peaking as playoffs approach, but are they too young to be taken seriously?",2018,http://global.nba.com/news/philadelphia-76ers-peaking-as-playoffs-approach-but-are-they-too-young-to-be-taken-seriously/,NBA News,21995.89999999999,84859.0,93866.0,0.1213412593847376,0.1213412593847376,LeBron James,0.0465079631309458,0.6734024286270142
12,New York Knicks dismiss coach Jeff Hornacek,2018,http://global.nba.com/news/new-york-knicks-dismiss-coach-jeff-hornacek/,NBA News,21995.89999999999,84859.0,93866.0,-0.0126623376623376,-0.0126623376623376,Carmelo Anthony,0.1245888221669815,0.6782568097114563
13,How Tuesday’s games affected 2018 NBA playoff chase,2018,http://global.nba.com/news/how-tuesdays-games-affected-2018-nba-playoff-chase/,NBA News,21995.89999999999,84859.0,93866.0,0.1060575998075998,0.1060575998075998,LeBron James,0.054337253417318,0.6734024286270142
14,"Nuggets, Timberwolves battle for final playoff spot",2018,http://global.nba.com/news/nuggets-timberwolves-battle-for-final-playoff-spot/,NBA News,21995.89999999999,84859.0,93866.0,0.1136750067258541,0.1136750067258541,Karl-Anthony Towns,0.0666458801892184,0.6758800745010376
15,"Paul, Harden pace offense as Rockets defeat Lakers",2018,http://global.nba.com/news/paul-harden-pace-offense-as-rockets-defeat-lakers/,NBA News,21995.89999999999,84859.0,93866.0,-0.0140762786596119,-0.0140762786596119,James Harden,0.0463782059418325,0.6798150539398193
16,Jazz cruise to 119-79 win over Warriors,2018,http://global.nba.com/news/jazz-cruise-to-119-79-win-over-warriors/,NBA News,21995.89999999999,84859.0,93866.0,0.1940419501133787,0.1940419501133787,Damian Lillard,0.014140410028323,0.6709682941436768
17,Alec Peters scores career-high 36 points to lead Suns over Mavericks,2018,http://global.nba.com/news/alec-peters-scores-career-high-36-points-to-lead-suns-over-mavericks/,NBA News,21995.89999999999,84859.0,93866.0,0.0460976523476523,0.0460976523476523,Harrison Barnes,0.0662915076133913,0.6844758987426758
18,Wall’s 29 points and 12 assists propel Wizards past Celtics,2018,http://global.nba.com/news/walls-29-points-and-12-assists-propel-wizards-past-celtics/,NBA News,21995.89999999999,84859.0,93866.0,-0.0347763347763347,-0.0347763347763347,Kyrie Irving,0.0691407033991758,0.6757211685180664
19,76ers Set Team Record With 15th Straight Win,2018,http://global.nba.com/news/76ers-set-team-record-with-15th-straight-win/,NBA News,21995.89999999999,84859.0,93866.0,-0.0322420634920635,-0.0322420634920635,Ben Simmons,0.0985030577598641,0.6802466511726379
20,Hornets take advantage of resting Pacers,2018,http://global.nba.com/news/hornets-take-advantage-of-resting-pacers/,NBA News,21995.89999999999,84859.0,93866.0,0.0267142857142857,0.0267142857142857,Victor Oladipo,0.1341398631622713,0.6742314100265503
21,Pacers finish regular season at home with Hornets,2018,http://global.nba.com/news/pacers-finish-regular-season-at-home-with-hornets/,NBA News,21995.89999999999,84859.0,93866.0,0.2524087233521195,0.2524087233521195,Victor Oladipo,0.0518783471151876,0.6742314100265503
22,Much at stake for Jazz vs. Warriors,2018,http://global.nba.com/news/much-at-stake-for-jazz-vs-warriors/,NBA News,21995.89999999999,84859.0,93866.0,0.0539241858359505,0.0539241858359505,Donovan Mitchell,0.0846286589565308,0.6903529167175293
23,Wizards hope to improve position vs. Celtics,2018,http://global.nba.com/news/wizards-hope-to-improve-position-vs-celtics/,NBA News,21995.89999999999,84859.0,93866.0,0.0523775894538606,0.0523775894538606,Kyrie Irving,0.100792580852656,0.6757211685180664
24,NBA Playoff Scenarios Entering Tuesday’s Games,2018,http://global.nba.com/news/nba-playoff-scenarios-entering-tuesdays-games/,NBA News,21995.89999999999,84859.0,93866.0,0.1404791154791154,0.1404791154791154,LeBron James,0.0,0.6734024286270142
25,Pat Riley says LeBron James ‘did the right thing’ when he left Miami Heat,2018,http://global.nba.com/news/pat-riley-says-lebron-james-did-the-right-thing-when-he-left-miami-heat/,NBA News,21995.89999999999,84859.0,93866.0,0.1306090000534445,0.1306090000534445,LeBron James,0.2725332849629284,0.6734024286270142
26,Russell Westbrook has chance to average triple-double for second straight season,2018,http://global.nba.com/news/russell-westbrook-has-chance-to-average-triple-double-for-second-straight-season/,NBA News,21995.89999999999,84859.0,93866.0,0.0263888888888888,0.0263888888888888,Russell Westbrook,0.3438807852599327,0.685907244682312
27,How Monday’s games affected 2018 NBA Playoff chase,2018,http://global.nba.com/news/how-mondays-games-affected-2018-nba-playoff-chase/,NBA News,21995.89999999999,84859.0,93866.0,0.1416666666666666,0.1416666666666666,LeBron James,0.0,0.6734024286270142
28,Pelicans beat Clippers 113-100 to clinch playoff berth,2018,http://global.nba.com/news/pelicans-beat-clippers-113-100-to-clinch-playoff-berth/,NBA News,21995.89999999999,84859.0,93866.0,0.0325541125541125,0.0325541125541125,Anthony Davis,0.168039927056883,0.68752521276474
29,Nuggets beat Trail Blazers 88-82 for 6th straight win,2018,http://global.nba.com/news/nuggets-beat-trail-blazers-88-82-for-6th-straight-win/,NBA News,21995.89999999999,84859.0,93866.0,0.1320372503840245,0.1320372503840245,Will Barton,0.0440272106056881,0.6720836758613586
30,"Gay, Ginobili lead Spurs over Kings to clinch playoff berth",2018,http://global.nba.com/news/gay-ginobili-lead-spurs-over-kings-to-clinch-playoff-berth/,NBA News,21995.89999999999,84859.0,93866.0,0.1047494172494172,0.1047494172494172,LaMarcus Aldridge,0.0850617126494081,0.6854403614997864
31,"Towns helps T-wolves top Grizzlies 113-94, closer to clinch",2018,http://global.nba.com/news/towns-helps-t-wolves-top-grizzlies-113-94-closer-to-clinch/,NBA News,21995.89999999999,84859.0,93866.0,0.0377503052503052,0.0377503052503052,Karl-Anthony Towns,0.0752434795508558,0.6758800745010376
32,"James, Love lead Cavs past Knicks to 50th win, Central title",2018,http://global.nba.com/news/james-love-lead-cavs-past-knicks-to-50th-win-central-title/,NBA News,21995.89999999999,84859.0,93866.0,0.125523088023088,0.125523088023088,LeBron James,0.2203971314029872,0.6734024286270142
33,"Thunder clinch: OKC runs past Miami, 115-93",2018,http://global.nba.com/news/thunder-clinch-oklahoma-city-runs-past-miami-115-93/,NBA News,21995.89999999999,84859.0,93866.0,0.0172222222222222,0.0172222222222222,Russell Westbrook,0.093428139887881,0.685907244682312
34,Raptors hold off Pistons 108-98,2018,http://global.nba.com/news/raptors-hold-off-pistons-108-98/,NBA News,21995.89999999999,84859.0,93866.0,0.0188740079365079,0.0188740079365079,DeMar DeRozan,0.0882217936187816,0.674518346786499
35,"Pelicans must win vs. Clippers, who are out of playoffs",2018,http://global.nba.com/news/pelicans-must-win-vs-clippers-who-are-out-of-playoffs/,NBA News,21995.89999999999,84859.0,93866.0,0.0333136047979797,0.0333136047979797,Anthony Davis,0.0580365945341316,0.68752521276474
36,Spurs look to lock up playoff spot against Kings,2018,http://global.nba.com/news/spurs-look-to-lock-up-playoff-spot-against-kings/,NBA News,21995.89999999999,84859.0,93866.0,0.1558097718253968,0.1558097718253968,LaMarcus Aldridge,0.0434676150656037,0.6854403614997864
37,NBA Playoff scenarios entering Monday’s games,2018,http://global.nba.com/news/nba-playoff-scenarios-entering-mondays-games/,NBA News,21995.89999999999,84859.0,93866.0,0.2240804269106155,0.2240804269106155,LeBron James,0.0432414703593659,0.6734024286270142
38,"Blazers, Nuggets meet in pivotal game for both teams",2018,http://global.nba.com/news/blazers-nuggets-meet-in-pivotal-game-for-both-teams/,NBA News,21995.89999999999,84859.0,93866.0,0.1593597374847374,0.1593597374847374,Damian Lillard,0.0603544928276456,0.6709682941436768
39,Thunder look to clinch playoff spot with win in Miami,2018,http://global.nba.com/news/thunder-look-to-clinch-playoff-spot-with-win-in-miami/,NBA News,21995.89999999999,84859.0,93866.0,0.023543771043771,0.023543771043771,Russell Westbrook,0.1004879298343092,0.685907244682312
40,"LeBron, Cavs continue playoff push at MSG",2018,http://global.nba.com/news/lebron-cavs-continue-playoff-push-at-msg/,NBA News,21995.89999999999,84859.0,93866.0,0.0737439328348419,0.0737439328348419,Tim Hardaway Jr.,0.0730441460793282,0.6609585285186768
41,Eight Playoff storylines may silence talk (for a bit) of another Finals rematch,2018,http://global.nba.com/news/eight-playoff-storylines-may-silence-talk-for-a-bit-of-another-finals-rematch/,NBA News,21995.89999999999,84859.0,93866.0,0.1374191172811862,0.1374191172811862,James Harden,0.085742123670264,0.6798150539398193
42,Stephen Curry on MCL rehab: ‘I haven’t had any setbacks’,2018,http://global.nba.com/news/stephen-curry-on-mcl-rehab-i-havent-had-any-setbacks/,NBA News,21995.89999999999,84859.0,93866.0,0.1566761363636363,0.1566761363636363,Stephen Curry,0.5489738772976217,0.6731425523757935
43,Kerr to Warriors: “We’ve got to defend”,2018,http://global.nba.com/news/kerr-to-warriors-weve-got-to-defend/,NBA News,21995.89999999999,84859.0,93866.0,0.0496333333333333,0.0496333333333333,LeBron James,0.0,0.6734024286270142
44,Jazz clinch Playoff spot in crowded Western Conference,2018,http://global.nba.com/news/jazz-clinch-playoff-spot-in-crowded-western-conference/,NBA News,21995.89999999999,84859.0,93866.0,0.0108974358974359,0.0108974358974359,Donovan Mitchell,0.1073524448218937,0.6903529167175293
45,"Anunoby, Miles power Raptors past Magic 112-101",2018,http://global.nba.com/news/anunoby-miles-power-raptors-past-magic-112-101/,NBA News,21995.89999999999,84859.0,93866.0,0.1464133738601823,0.1464133738601823,DeMar DeRozan,0.0557028632333682,0.674518346786499
46,Hornets name Mitch Kupchak President of Basketball Operations and General Manager,2018,http://global.nba.com/news/report-mitch-kupchak-agrees-to-join-charlotte-hornets-as-general-manager/,NBA News,21995.89999999999,84859.0,93866.0,0.2265977443609022,0.2265977443609022,LeBron James,0.0,0.6734024286270142
47,"Prince scores 33, Hawks beat resting Celtics, win 112-106",2018,http://global.nba.com/news/prince-scores-33-hawks-beat-resting-celtics-win-112-106/,NBA News,21995.89999999999,84859.0,93866.0,0.119833488951136,0.119833488951136,Kyrie Irving,0.075585615088817,0.6757211685180664
48,"Sabonis scores career-high 30, Pacers beat Hornets 123-117",2018,http://global.nba.com/news/sabonis-scores-career-high-30-pacers-beat-hornets-123-117/,NBA News,21995.89999999999,84859.0,93866.0,0.16506734006734,0.16506734006734,Kemba Walker,0.0753002868858932,0.6867640614509583
49,"76ers rout Mavericks 109-97, win 14th in row to tie team record",2018,http://global.nba.com/news/76ers-rout-mavericks-109-97-win-14th-in-row-to-tie-team-mark/,NBA News,21995.89999999999,84859.0,93866.0,0.0960864805692392,0.0960864805692392,Harrison Barnes,0.0543076666347447,0.6844758987426758
50,Slumping Warriors look to turn things around vs. Suns,2018,http://global.nba.com/news/slumping-warriors-look-to-turn-things-around-vs-suns/,NBA News,21995.89999999999,84859.0,93866.0,0.0386773345701917,0.0386773345701917,Kevin Durant,0.0905073094572049,0.6698825359344482
51,Surging Jazz face Lakers uncertain of fate in wild west,2018,http://global.nba.com/news/surging-jazz-face-lakers-uncertain-of-fate-in-wild-west/,NBA News,21995.89999999999,84859.0,93866.0,0.1034896825396825,0.1034896825396825,Kyle Kuzma,0.0899726395857862,0.6647515892982483
52,Mavs try to halt Sixers’ 13-game winning streak,2018,http://global.nba.com/news/mavs-try-to-halt-sixers-13-game-winning-streak/,NBA News,21995.89999999999,84859.0,93866.0,0.0932717418083271,0.0932717418083271,LeBron James,0.0504610049724414,0.6734024286270142
53,Pacers shoot for win over Hornets to stay in division title hunt,2018,http://global.nba.com/news/pacers-shoot-for-win-over-hornets-to-stay-in-division-title-hunt/,NBA News,21995.89999999999,84859.0,93866.0,0.1198462401795735,0.1198462401795735,Russell Westbrook,0.0537226243275721,0.685907244682312
54,LA Clippers miss playoffs for first time since 2011,2018,http://global.nba.com/news/la-clippers-miss-playoffs-for-first-time-since-2011/,NBA News,21995.89999999999,84859.0,93866.0,0.1868279569892473,0.1868279569892473,Lou Williams,0.0868391731495511,0.67406165599823
55,Spurs top Trail Blazers for 10th straight home win,2018,http://global.nba.com/news/spurs-top-trail-blazers-for-10th-straight-home-win/,NBA News,21995.89999999999,84859.0,93866.0,0.0372727272727272,0.0372727272727272,Damian Lillard,0.3828157926999034,0.6709682941436768
56,AD’s 34 points leads Pelicans past Warriors,2018,http://global.nba.com/news/ads-34-points-leads-pelicans-past-warriors/,NBA News,21995.89999999999,84859.0,93866.0,0.0608099131908655,0.0608099131908655,Stephen Curry,0.1493900828646545,0.6731425523757935
57,"Russ, PG propel Thunder over Rockets to maintain Playoff position",2018,http://global.nba.com/news/russ-pg-propel-thunder-over-rockets-to-maintain-playoff-position/,NBA News,21995.89999999999,84859.0,93866.0,0.1233660130718954,0.1233660130718954,James Harden,0.0754141592755843,0.6798150539398193
58,"Nets drain 24 triples, 1 shy of NBA record, to defeat Bulls",2018,http://global.nba.com/news/nets-drain-24-triples-1-shy-of-nba-record-to-defeat-bulls/,NBA News,21995.89999999999,84859.0,93866.0,0.0509612869769119,0.0509612869769119,Kyrie Irving,0.0465079631309457,0.6757211685180664
59,Bucks use balanced scoring to topple Knicks,2018,http://global.nba.com/news/bucks-use-balanced-scoring-to-topple-knicks/,NBA News,21995.89999999999,84859.0,93866.0,0.0599705849705849,0.0599705849705849,Giannis Antetokounmpo,0.0532067600522619,0.6605729460716248
60,Nuggets eliminate Clippers with 134-115 victory,2018,http://global.nba.com/news/nuggets-eliminate-clippers-with-134-115-victory/,NBA News,21995.89999999999,84859.0,93866.0,0.0799278499278499,0.0799278499278499,Lou Williams,0.1072985593152376,0.67406165599823
61,Spurs face must-win vs. Blazers,2018,http://global.nba.com/news/spurs-face-must-win-vs-blazers/,NBA News,21995.89999999999,84859.0,93866.0,0.0335159632034632,0.0335159632034632,Damian Lillard,0.043354247810123,0.6709682941436768
62,Pelicans fighting for playoff life against Warriors,2018,http://global.nba.com/news/pelicans-fighting-for-playoff-life-against-warriors/,NBA News,21995.89999999999,84859.0,93866.0,0.1216824327935439,0.1216824327935439,Anthony Davis,0.0811843759083746,0.68752521276474
63,Rockets hope to close out Thunder,2018,http://global.nba.com/news/rockets-hope-to-close-out-thunder/,NBA News,21995.89999999999,84859.0,93866.0,0.0770204081632652,0.0770204081632652,Paul George,0.2301653755289852,0.6765837073326111
64,"With Kyrie Irving out, Boston Celtics’ Brad Stevens believes in his roster for the playoffs",2018,http://global.nba.com/news/with-kyrie-irving-out-boston-celtics-brad-stevens-believes-in-his-roster-for-the-playoffs/,NBA News,21995.89999999999,84859.0,93866.0,0.0697584541062801,0.0697584541062801,Kyrie Irving,0.3450690384277835,0.6757211685180664
65,"Nuggets, Clippers Meet In Critical Game For Postseason Hopes",2018,http://global.nba.com/news/nuggets-clippers-meet-in-critical-game-for-postseason-hopes/,NBA News,21995.89999999999,84859.0,93866.0,-0.0386754850088183,-0.0386754850088183,Will Barton,0.0300497285277612,0.6720836758613586
66,"LeBron James, Ben Simmons stage epic duel in 76ers’ win over Cavaliers",2018,http://global.nba.com/news/lebron-james-ben-simmons-stage-epic-duel-in-76ers-win-over-cavaliers/,NBA News,21995.89999999999,84859.0,93866.0,0.0402777777777777,0.0402777777777777,LeBron James,0.3250663558982523,0.6734024286270142
67,Greg Monroe’s triple-double lifts Celtics over Bulls 111-104,2018,http://global.nba.com/news/greg-monroes-triple-double-lifts-celtics-over-bulls-111-104/,NBA News,21995.89999999999,84859.0,93866.0,0.1481779984721161,0.1481779984721161,Kyrie Irving,0.1281094643703377,0.6757211685180664
68,Bogdanovic’s last-second jumper leads Kings past Grizzlies,2018,http://global.nba.com/news/bogdanovics-last-second-jumper-leads-kings-past-grizzlies/,NBA News,21995.89999999999,84859.0,93866.0,-0.0833333333333333,-0.0833333333333333,Marc Gasol,0.0805288904131375,0.6580509543418884
69,"Ibaka scores season-high 25, Raptors beat Pacers 92-73",2018,http://global.nba.com/news/ibaka-scores-season-high-25-raptors-beat-pacers-92-73/,NBA News,21995.89999999999,84859.0,93866.0,0.1089285714285714,0.1089285714285714,DeMar DeRozan,0.0621600066124746,0.674518346786499
70,"76ers hold off LeBron, Cavs 132-130 for 13th straight win",2018,http://global.nba.com/news/76ers-hold-off-lebron-cavs-132-130-for-13th-straight-win/,NBA News,21995.89999999999,84859.0,93866.0,0.0536189096850861,0.0536189096850861,LeBron James,0.2454280602060825,0.6734024286270142
71,"Prince scores 23, Hawks hand Wizards fourth straight loss",2018,http://global.nba.com/news/prince-scores-23-hawks-hand-wizards-fourth-straight-loss/,NBA News,21995.89999999999,84859.0,93866.0,0.0523148148148148,0.0523148148148148,Bradley Beal,0.1594946781901064,0.671540379524231
72,Jackson scores 24 as Pistons beat Mavericks 113-106 in OT,2018,http://global.nba.com/news/jackson-scores-24-as-pistons-beat-mavericks-113-106-in-ot/,NBA News,21995.89999999999,84859.0,93866.0,0.0003787878787878,0.0003787878787878,Harrison Barnes,0.0871426638703512,0.6844758987426758
73,"Celtics move forward without Irving, host Bulls",2018,http://global.nba.com/news/celtics-move-forward-without-irving-host-bulls/,NBA News,21995.89999999999,84859.0,93866.0,0.1666170634920635,0.1666170634920635,Kyrie Irving,0.2386813051954356,0.6757211685180664
74,"LeBron James, Kevin Durant, James Harden among 35 players on 2018-20 men’s national team",2018,http://global.nba.com/news/lebron-james-kevin-durant-james-harden-among-35-players-on-2018-20-mens-national-team/,NBA News,21995.89999999999,84859.0,93866.0,0.1658636363636363,0.1658636363636363,LeBron James,0.0353613726666926,0.6734024286270142
75,Timberwolves make crucial visit to Lakers,2018,http://global.nba.com/news/timberwolves-make-crucial-visit-to-lakers/,NBA News,21995.89999999999,84859.0,93866.0,0.0713892168437623,0.0713892168437623,Jimmy Butler,0.048830471701075,0.6835508346557617
76,Pelicans battling for playoff spot as they face Suns,2018,http://global.nba.com/news/pelicans-battling-for-playoff-spot-as-they-face-suns/,NBA News,21995.89999999999,84859.0,93866.0,0.0811609602518693,0.0811609602518693,Anthony Davis,0.1515688818174305,0.68752521276474
77,Raptors can secure top seed in East vs. Pacers,2018,http://global.nba.com/news/raptors-can-secure-top-seed-in-east-vs-pacers/,NBA News,21995.89999999999,84859.0,93866.0,0.086425150519978,0.086425150519978,DeMar DeRozan,0.092133569193484,0.674518346786499
78,Detroit Pistons weigh shutting down Blake Griffin for rest of season,2018,http://global.nba.com/news/detroit-pistons-weigh-shutting-down-blake-griffin-for-rest-of-season/,NBA News,21995.89999999999,84859.0,93866.0,0.0593730158730158,0.0593730158730158,Andre Drummond,0.1090584404965483,0.6778777241706848
79,"Kia MVP Ladder: Even after 15 seasons, LeBron James maintains an MVP-type pace",2018,http://global.nba.com/news/kia-mvp-ladder-even-after-15-seasons-lebron-james-maintains-an-mvp-type-pace/,NBA News,21995.89999999999,84859.0,93866.0,0.1769832550282787,0.1769832550282787,LeBron James,0.1895656484913035,0.6734024286270142
80,"Philadelphia 76ers, Cleveland Cavaliers set for game with playoff implications",2018,http://global.nba.com/news/philadelphia-76ers-cleveland-cavaliers-set-for-game-with-playoff-implications/,NBA News,21995.89999999999,84859.0,93866.0,0.0130165289256198,0.0130165289256198,LeBron James,0.0,0.6734024286270142
81,Kyrie Irving’s absence provides opening for Boston Celtics’ foes in Eastern Conference playoffs,2018,http://global.nba.com/news/kyrie-irvings-absence-provides-opening-for-boston-celtics-foes-in-eastern-conference-playoffs/,NBA News,21995.89999999999,84859.0,93866.0,0.0743197278911564,0.0743197278911564,LeBron James,0.0521496010428708,0.6734024286270142
82,Steve Kerr calls Golden State Warriors’ 20-point loss to Indiana Pacers ’embarrassing effort’,2018,http://global.nba.com/news/steve-kerr-calls-golden-state-warriors-20-point-loss-to-indiana-pacers-embarrassing-effort/,NBA News,21995.89999999999,84859.0,93866.0,0.0589936247723133,0.0589936247723133,Kevin Durant,0.0825278896294023,0.6698825359344482
83,"Murray, Jokic lead Nuggets to crucial 100-96 win over Wolves",2018,http://global.nba.com/news/murray-jokic-lead-nuggets-to-crucial-100-96-win-over-wolves/,NBA News,21995.89999999999,84859.0,93866.0,-0.0183736317882659,-0.0183736317882659,Karl-Anthony Towns,0.2233585422923877,0.6758800745010376
84,Jazz beat Clippers 117-95 for 4th straight victory,2018,http://global.nba.com/news/jazz-beat-clippers-117-95-for-4th-straight-victory/,NBA News,21995.89999999999,84859.0,93866.0,-0.0165562328827634,-0.0165562328827634,Donovan Mitchell,0.0858930590022036,0.6903529167175293
85,"LeBron scores 33 points, Cavs rallyin 4th quarter to stun Wizards",2018,http://global.nba.com/news/lebron-scores-33-points-cavs-rally-in-4th-quarter-to-stun-wizards/,NBA News,21995.89999999999,84859.0,93866.0,0.0547474747474747,0.0547474747474747,LeBron James,0.1275804991419753,0.6734024286270142
86,Chris Paul’s late shot lifts Rockets over Trail Blazers,2018,http://global.nba.com/news/chris-pauls-late-shot-lifts-rockets-over-trail-blazers/,NBA News,21995.89999999999,84859.0,93866.0,0.0146031746031745,0.0146031746031745,James Harden,0.1502672500022953,0.6798150539398193
87,Brooklyn’s 3-point barrage pushes Nets past Bucks,2018,http://global.nba.com/news/nothing-but-nets-brooklyns-3-point-barrage-beats-bucks/,NBA News,21995.89999999999,84859.0,93866.0,-0.0157720057720057,-0.0157720057720057,Giannis Antetokounmpo,0.0919636653988774,0.6605729460716248
88,Pacers sweep season series vs. Warriors with 126-106 romp,2018,http://global.nba.com/news/pacers-sweep-season-series-vs-warriors-with-126-106-romp/,NBA News,21995.89999999999,84859.0,93866.0,0.0919191919191919,0.0919191919191919,Kevin Durant,0.055332033701813,0.6698825359344482
89,Kyrie Irving to miss remainder of season and playoffs after knee surgery,2018,http://global.nba.com/news/kyrie-irving-to-miss-remainder-of-season-and-playoffs-after-knee-surgery/,NBA News,21995.89999999999,84859.0,93866.0,0.1071428571428571,0.1071428571428571,Kyrie Irving,0.2999298401697027,0.6757211685180664
90,Timberwolves’ Butler not quite ready to return against Denver,2018,http://global.nba.com/news/timberwolves-butler-not-quite-ready-to-return-against-denver/,NBA News,21995.89999999999,84859.0,93866.0,0.0576895326895326,0.0576895326895326,Karl-Anthony Towns,0.0488304717010752,0.6758800745010376
91,Jazz host Clippers in key West contest,2018,http://global.nba.com/news/jazz-host-clippers-in-key-west-contest/,NBA News,21995.89999999999,84859.0,93866.0,0.0961533032185206,0.0961533032185206,Lou Williams,0.0624714805780902,0.67406165599823
92,Rockets take on suddenly-struggling Blazers,2018,http://global.nba.com/news/rockets-take-on-suddenly-struggling-blazers/,NBA News,21995.89999999999,84859.0,93866.0,0.0461515567765567,0.0461515567765567,James Harden,0.1501716794029695,0.6798150539398193
93,Lue returns as Cavaliers host Wizards,2018,http://global.nba.com/news/lue-returns-as-cavaliers-host-wizards/,NBA News,21995.89999999999,84859.0,93866.0,0.0859649609649609,0.0859649609649609,LeBron James,0.0819851831431289,0.6734024286270142
94,Cleveland Cavaliers coach Tyronn Lue to return vs. Washington Wizards tonight,2018,http://global.nba.com/news/cleveland-cavaliers-coach-tyronn-lue-to-return-vs-washington-wizards-tonight/,NBA News,21995.89999999999,84859.0,93866.0,0.19453125,0.19453125,LeBron James,0.0,0.6734024286270142
95,Dirk Nowitzki undergoes ankle surgery,2018,http://global.nba.com/news/dirk-nowitzki-undergoes-ankle-surgery/,NBA News,21995.89999999999,84859.0,93866.0,0.0,0.0,LeBron James,0.0,0.6734024286270142
96,Damian Lillard unlikely to play vs. Rockets,2018,http://global.nba.com/news/damian-lillard-unlikely-to-play-vs-rockets/,NBA News,21995.89999999999,84859.0,93866.0,-0.1619047619047619,-0.1619047619047619,Damian Lillard,0.4864369080717463,0.6709682941436768
97,"Kuzma scores 30, Lakers beat Spurs 122-112 in overtime",2018,http://global.nba.com/news/kuzma-scores-30-lakers-beat-spurs-122-112-in-overtime/,NBA News,21995.89999999999,84859.0,93866.0,0.0587301587301587,0.0587301587301587,LaMarcus Aldridge,0.1074141157576174,0.6854403614997864
98,DeRozan scores 16 as Raptors beat Celtics to increase Eastern Conference lead,2018,http://global.nba.com/news/derozan-scores-16-as-raptors-beat-celtics-to-increase-eastern-conference-lead/,NBA News,21995.89999999999,84859.0,93866.0,0.0892857142857143,0.0892857142857143,DeMar DeRozan,0.0803990614453874,0.674518346786499
99,"Moore, Davis prove to be dynamic duo for Pels against Grizzlies",2018,http://global.nba.com/news/moore-davis-prove-to-be-dynamic-duo-for-pels-against-grizzlies/,NBA News,21995.89999999999,84859.0,93866.0,0.0440055315055315,0.0440055315055315,Anthony Davis,0.1502672500022955,0.68752521276474
100,Olynyk’s hot shooting powers Heat past Hawks,2018,http://global.nba.com/news/olynyks-hot-shooting-powers-heat-past-hawks/,NBA News,21995.89999999999,84859.0,93866.0,0.0180757403971689,0.0180757403971689,Taurean Prince,0.0574350190764345,0.6640648245811462
